,index,R2,MAE,MBE,MSE,RMSE,cvRMSE,NMBE
0,2509,0.9743682590748382,12.42916148485963,0.0011662243706288013,344.0760077926069,18.54928591058445,0.09052439745159507,5.691419009520867e-06
1,2508,0.9740404199991456,12.391880636235072,-0.009164999994686713,348.47686221338444,18.667534979567723,0.09110147765675891,-4.472711813070253e-05
2,2507,0.9743824957200459,12.346222632108738,-0.0337495704294125,343.8848975569917,18.544133777477764,0.09049925396373676,-0.00016470496719388133
3,2506,0.9748359729538828,12.296574071547681,-0.08532173752525822,337.7974984724342,18.379268170208363,0.0896946752952912,-0.000416387936238015
4,2505,0.9755622548723099,12.188491304189201,-0.03749338043641073,328.0480170090426,18.112095875658415,0.08839081858099615,-0.00018297554357565906
5,2504,0.9723130696559301,12.846348829965473,-0.06422463838380993,371.6645111478861,19.27860241687364,0.09408361464203467,-0.00031342967698414187
6,2503,0.9706694587612473,13.17024385327044,-0.1698944597998097,393.7280563693392,19.842581897760663,0.09683595254487702,-0.0008291205212900529
7,2502,0.9732941747309367,12.69279108443226,0.4569143608336812,358.4943281931286,18.933946450572016,0.09240162139291726,0.0022298377091620586
8,2501,0.9311019964890948,19.279396944581585,1.6194000726674642,924.8747504950672,30.411753492606557,0.14841572196554217,0.007903011281293714
9,2500,0.9733411986676496,12.634398420867251,0.3244170715407671,357.8630870900724,18.917269546371443,0.09232023461008411,0.00158322320685571
10,2499,0.9742991933401247,12.401159995275595,-0.1374500001951421,345.00313413743214,18.5742599889587,0.09064627618092383,-0.000670784768069534
11,2498,0.9742310818725763,12.514986634648656,-0.052537346851888767,345.9174505667136,18.598856162858876,0.0907663106573269,-0.00025639324825754635
12,2497,0.9740627383050093,12.539757297824453,0.30394078422145393,348.17726517841425,18.659508706780418,0.09106230776572616,0.001483294639224496
13,2496,0.9744100800940129,12.27581535140937,-0.11208789388768312,343.51460974471524,18.534147127524246,0.09045051702184259,-0.0005470123812157649
14,2495,0.9749027515861228,12.178735406423588,-0.13550067248738687,336.90107379125084,18.35486512593462,0.0895755833318855,-0.000661271640877961
15,2494,0.9754993538335615,12.098293498191238,-0.013420213614361368,328.8923895532924,18.135390526627553,0.08850450135309808,-6.549345117477237e-05
16,2493,0.9731246508585023,12.642577516213455,0.1780122627513674,360.7699870109621,18.993946062126273,0.09269443205471097,0.0008687370986808419
17,2492,0.9702619763781355,13.212115603366163,-0.48538537681699523,399.1980286211786,19.97994065609752,0.09750629203358196,-0.0023687822259023813
18,2491,0.9732943222558705,12.622894425144585,0.2559356691284618,358.4923478442157,18.933894154246655,0.09240136617590432,0.0012490196305079656
19,2490,0.9320700227834599,19.054324263494642,1.4702281592432416,911.8801348044716,30.19735310924571,0.1473694032225626,0.00717502112336942
20,2489,0.9734556279727945,12.573120833691352,0.07625756291501898,356.3270081087919,18.876625972582914,0.0921218854636414,0.00037215286708531246
21,2488,0.9742732594601607,12.327723327379442,-0.07654942889849115,345.3512660068444,18.583628978400437,0.09069199881024939,-0.0003735772341697273
22,2487,0.9740096833163243,12.41075494762715,-0.1089280589133412,348.8894660684556,18.678583085139397,0.09115539472422331,-0.0005315917252143628
23,2486,0.974182170479593,12.415151099934745,0.18687134896947405,346.5740285526729,18.616498826381747,0.0908524105477781,0.0009119712935566794
24,2485,0.9751031639757476,12.15332992832621,0.10096568260580868,334.2107729203275,18.281432463577012,0.08921721657074803,0.0004927336623758928
25,2484,0.9757792522470425,12.073175820163994,0.21815941891436189,325.13508219835154,18.031502494200296,0.08799750601197052,0.0010646636232149423
26,2483,0.9724072825503806,12.762230793164283,0.11637132700073634,370.39981372839645,19.245773918665794,0.09392340470005463,0.0005679164312936225
27,2482,0.970503783080497,13.206081623017097,-0.15011112957225886,395.9520577349645,19.89854411093848,0.09710905985760053,-0.000732573729296671
28,2481,0.9734438025193832,12.542609457135203,0.6508452232070804,356.48575092739196,18.880830249949074,0.0921424032171078,0.003176260905626069
29,2480,0.932630605341207,18.992676758601345,1.8327366215069143,904.3549725819379,30.07249528359657,0.14676007090171267,0.008944138289157357
30,2479,0.9735361424020539,12.578821026243185,0.19260223351013522,355.24619649048805,18.847975925559965,0.09198206723795799,0.0009399392095405496
31,2478,0.9744488031500933,12.307384964932794,0.10250799356063399,342.99479821164067,18.52011874183426,0.09038205556365353,0.0005002604626280194
32,2477,0.9742293776647379,12.401025597629197,-0.20137459039712446,345.94032755470994,18.599471163307573,0.09076931198823092,-0.000982750147128822
33,2476,0.9741808331457388,12.38795845700619,0.21646918523479425,346.5919806884635,18.616980976744415,0.09085476354245789,0.0010564149291071036
34,2475,0.9784571416929374,11.828052093522535,0.17841594120981008,289.18756257634396,17.005515651586222,0.08299047548968466,0.0008707071340445138
35,2474,0.972790228858014,12.712688028499116,-0.25234275854990923,365.2592094629993,19.11175579226041,0.09326936819434115,-0.0012314854749189712
36,2473,0.9709816792175542,13.081236330064907,0.17956451027545492,389.5368635638679,19.73668826231665,0.09631916944127203,0.0008763123914706076
37,2472,0.9740874676692483,12.480592430963272,0.2696687228862334,347.84530251745355,18.65061131752666,0.09101888664401984,0.001316039807057364
38,2471,0.9323119891304423,19.05491408905404,1.6902804501569113,908.6320208767839,30.14352369708598,0.14710670442518448,0.008248922358103011
39,2470,0.9740130402520549,12.47886223856297,0.18061848280799256,348.84440315025773,18.677376773793952,0.09114950767238682,0.0008814559980168876
40,2469,0.9748506197934116,12.242732690228683,-0.21324873758111565,337.60088185998677,18.37391852218755,0.08966856789331376,-0.0010406984705448197
